date,Africa,Asia,Europe,North America,Oceania,South America
2020-01-22,0,556,0,1,0,0
2020-01-23,0,654,0,1,0,0
2020-01-24,0,937,2,2,0,0
2020-01-25,0,1428,3,2,0,0
2020-01-26,0,2105,3,6,4,0
2020-01-27,0,2912,4,6,5,0
2020-01-28,0,5558,8,7,5,0
2020-01-29,0,6143,10,8,6,0
2020-01-30,0,8208,10,8,9,0
2020-01-31,0,9889,17,12,9,0
2020-02-01,0,11991,23,12,12,0
2020-02-02,0,16738,25,12,12,0
2020-02-03,0,19827,33,15,12,0
2020-02-04,0,23836,34,15,13,0
2020-02-05,0,27579,35,16,13,0
2020-02-06,0,30737,35,17,14,0
2020-02-07,0,34264,37,19,15,0
2020-02-08,0,36989,46,19,15,0
2020-02-09,0,40013,49,19,15,0
2020-02-10,0,42551,49,19,15,0
2020-02-11,0,44589,52,20,15,0
2020-02-12,0,44966,53,20,15,0
2020-02-13,0,60117,54,21,15,0
2020-02-14,1,66599,55,21,15,0
2020-02-15,1,68674,56,21,15,0
2020-02-16,1,70787,56,21,15,0
2020-02-17,1,72721,57,22,15,0
2020-02-18,1,74515,57,22,15,0
2020-02-19,1,74935,58,22,15,0
2020-02-20,1,75480,60,22,15,0
2020-02-21,1,76088,78,25,15,0
2020-02-22,1,77807,120,25,15,0
2020-02-23,1,78030,218,25,15,2
2020-02-24,1,78517,294,26,15,2
2020-02-25,2,79260,402,27,15,2
2020-02-26,2,80059,565,27,15,3
2020-02-27,2,81151,830,30,15,3
2020-02-28,3,82230,1133,32,16,3
2020-02-29,3,83720,1506,49,26,4
2020-03-01,4,85317,2261,62,28,17
2020-03-02,8,86700,2828,88,31,17
2020-03-03,11,88568,3516,110,40,20
2020-03-04,21,89798,4528,146,55,25
2020-03-05,24,91084,5960,227,58,31
2020-03-06,43,93120,7732,294,64,44
2020-03-07,43,94876,9890,465,68,50
2020-03-08,83,96078,12425,595,81,79
2020-03-09,91,96988,15565,683,96,90
2020-03-10,104,98178,18955,874,112,112
2020-03-11,118,99902,24415,1279,133,149
2020-03-12,134,101261,28343,1738,133,177
2020-03-13,176,103090,39882,2485,205,332
2020-03-14,254,105010,48027,3284,256,413
2020-03-15,313,106953,56868,3595,305,479
2020-03-16,400,108683,67857,5273,385,723
2020-03-17,484,110690,79391,7216,464,1019
2020-03-18,600,112830,93435,10100,588,1270
2020-03-19,780,114988,112794,14840,710,1760
2020-03-20,968,117691,133257,21478,832,2421
2020-03-21,1172,120265,154902,28013,1125,3161
2020-03-22,1437,123509,175200,37378,1655,4314
2020-03-23,1818,126605,201586,49380,1789,5150
2020-03-24,2250,130232,225983,60832,2205,6005
2020-03-25,2773,135652,256994,73661,2576,6852
2020-03-26,3326,141388,292892,92684,3100,7995
2020-03-27,3885,148515,328903,112395,3518,9210
2020-03-28,4225,155732,365681,133394,4098,10574
2020-03-29,4785,163007,395563,153459,4505,11622
2020-03-30,5196,170279,428202,176975,4957,12626
2020-03-31,5781,179294,464979,204974,5213,14839
2020-04-01,6380,187938,502062,238664,5577,17244
2020-04-02,7031,197114,538196,273100,5922,19565
2020-04-03,7913,205894,575809,307050,6207,21606
2020-04-04,8592,214907,588300,340514,6514,24041
