date,cases
2020-01-22,557
2020-01-23,655
2020-01-24,941
2020-01-25,1433
2020-01-26,2118
2020-01-27,2927
2020-01-28,5578
2020-01-29,6167
2020-01-30,8235
2020-01-31,9927
2020-02-01,12038
2020-02-02,16787
2020-02-03,19887
2020-02-04,23898
2020-02-05,27643
2020-02-06,30803
2020-02-07,34396
2020-02-08,37130
2020-02-09,40160
2020-02-10,42769
2020-02-11,44811
2020-02-12,45229
2020-02-13,60382
2020-02-14,66909
2020-02-15,69052
2020-02-16,71235
2020-02-17,73270
2020-02-18,75152
2020-02-19,75652
2020-02-20,76212
2020-02-21,76841
2020-02-22,78602
2020-02-23,78982
2020-02-24,79546
2020-02-25,80399
2020-02-26,81376
2020-02-27,82736
2020-02-28,84122
2020-02-29,86013
2020-03-01,88394
2020-03-02,90377
2020-03-03,92971
2020-03-04,95279
2020-03-05,98090
2020-03-06,102003
2020-03-07,106098
2020-03-08,110047
2020-03-09,114219
2020-03-10,119041
2020-03-11,126702
2020-03-12,132492
2020-03-13,146876
2020-03-14,157950
2020-03-15,169219
2020-03-16,184027
2020-03-17,199970
2020-03-18,219535
2020-03-19,246584
2020-03-20,277359
2020-03-21,309350
2020-03-22,344205
2020-03-23,387040
2020-03-24,428219
2020-03-25,479220
2020-03-26,542097
2020-03-27,607138
2020-03-28,674418
2020-03-29,733655
2020-03-30,798949
2020-03-31,875794
2020-04-01,958586
2020-04-02,1041649
2020-04-03,1125200
2020-04-04,1183589
2020-04-05,1256181
2020-04-06,1329324
2020-04-07,1399153
2020-04-08,1482508
2020-04-09,1569527
2020-04-10,1655062
2020-04-11,1729373
2020-04-12,1849067
2020-04-13,1919799
2020-04-14,2003766
2020-04-15,2080914
2020-04-16,2176465
2020-04-17,2264462
2020-04-18,2341702
2020-04-19,2418307
2020-04-20,2494325
2020-04-21,2570074
2020-04-22,2651321
2020-04-23,2735570
2020-04-24,2819666
2020-04-25,2901925
2020-04-26,2973513
2020-04-27,3043705
2020-04-28,3119245
2020-04-29,3196355
2020-04-30,3279850
2020-05-01,3368226
2020-05-02,3447426
2020-05-03,3523799
2020-05-04,3601488
2020-05-05,3681990
2020-05-06,3772018
2020-05-07,3860724
2020-05-08,3951003
2020-05-09,4036226
2020-05-10,4111202
2020-05-11,4187833
2020-05-12,4272324
2020-05-13,4357304
2020-05-14,4453535
2020-05-15,4549267
2020-05-16,4643706
2020-05-17,4721728
2020-05-18,4810895
2020-05-19,4907670
2020-05-20,5009548
2020-05-21,5116192
2020-05-22,5222614
2020-05-23,5327418
2020-05-24,5421629
2020-05-25,5508346
2020-05-26,5602313
2020-05-27,5705075
2020-05-28,5824358
2020-05-29,5945261
